X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26
65,73,85,97,108,128,139,150,161,168,84,76,75,77,82,81,77,75,78,85,,67,75.2461538462,87.6153846154,99.9846153846,111.3230769231,131.9384615385,143.2769230769,154.6153846154,165.9538461538,173.1692307692,84,76,75,77,82,81,77,75,78,85
66,73,85,96,108,129,140,150,161,168,85,77,75,77,81,81,77,75,78,85,,67,74.1060606061,86.2878787879,97.4545454545,109.6363636364,130.9545454545,142.1212121212,152.2727272727,163.4393939394,170.5454545455,84,76.0941176471,74.1176470588,76.0941176471,80.0470588235,80.0470588235,76.0941176471,74.1176470588,77.0823529412,84
66,74,85,97,108,129,139,150,161,168,84,77,75,77,82,82,77,76,78,86,,67,75.1212121212,86.2878787879,98.4696969697,109.6363636364,130.9545454545,141.1060606061,152.2727272727,163.4393939394,170.5454545455,84,77,75,77,82,82,77,76,78,86
66,74,85,97,108,129,140,150,161,168,84,77,75,77,81,81,77,76,78,86,,67,75.1212121212,86.2878787879,98.4696969697,109.6363636364,130.9545454545,142.1212121212,152.2727272727,163.4393939394,170.5454545455,84,77,75,77,81,81,77,76,78,86
66,74,86,97,108,129,139,150,161,168,84,77,75,77,81,81,77,75,78,85,,67,75.1212121212,87.303030303,98.4696969697,109.6363636364,130.9545454545,141.1060606061,152.2727272727,163.4393939394,170.5454545455,84,77,75,77,81,81,77,75,78,85
66,74,85,97,108,129,139,150,161,168,85,77,75,77,82,81,77,76,78,86,,67,75.1212121212,86.2878787879,98.4696969697,109.6363636364,130.9545454545,141.1060606061,152.2727272727,163.4393939394,170.5454545455,84,76.0941176471,74.1176470588,76.0941176471,81.0352941176,80.0470588235,76.0941176471,75.1058823529,77.0823529412,84.9882352941
67,74,86,97,108,128,139,150,160,168,85,77,75,77,82,82,77,76,78,86,,67,74,86,97,108,128,139,150,160,168,84,76.0941176471,74.1176470588,76.0941176471,81.0352941176,81.0352941176,76.0941176471,75.1058823529,77.0823529412,84.9882352941
66,74,86,97,108,129,140,150,161,168,84,77,75,77,82,81,77,75,78,85,,67,75.1212121212,87.303030303,98.4696969697,109.6363636364,130.9545454545,142.1212121212,152.2727272727,163.4393939394,170.5454545455,84,77,75,77,82,81,77,75,78,85
66,74,86,97,108,129,139,150,161,167,85,77,75,77,82,82,77,76,78,86,,67,75.1212121212,87.303030303,98.4696969697,109.6363636364,130.9545454545,141.1060606061,152.2727272727,163.4393939394,169.5303030303,84,76.0941176471,74.1176470588,76.0941176471,81.0352941176,81.0352941176,76.0941176471,75.1058823529,77.0823529412,84.9882352941
66,74,86,97,108,129,139,150,160,167,84,76,75,77,81,81,77,75,78,85,,67,75.1212121212,87.303030303,98.4696969697,109.6363636364,130.9545454545,141.1060606061,152.2727272727,162.4242424242,169.5303030303,84,76,75,77,81,81,77,75,78,85
66,73,85,97,108,130,140,151,162,168,84,75,72,74,79,78,74,72,76,85,,67,74.1060606061,86.2878787879,98.4696969697,109.6363636364,131.9696969697,142.1212121212,153.2878787879,164.4545454545,170.5454545455,84,75,72,74,79,78,74,72,76,85
65,72,84,95,107,131,141,152,162,168,83,74,70,71,75,75,71,71,75,84,,67,74.2153846154,86.5846153846,97.9230769231,110.2923076923,135.0307692308,145.3384615385,156.6769230769,166.9846153846,173.1692307692,84,74.8915662651,70.843373494,71.8554216867,75.9036144578,75.9036144578,71.8554216867,71.8554216867,75.9036144578,85.0120481928
66,73,84,96,106,132,142,152,162,167,82,73,68,69,74,74,71,71,75,84,,67,74.1060606061,85.2727272727,97.4545454545,107.6060606061,134,144.1515151515,154.303030303,164.4545454545,169.5303030303,84,74.7804878049,69.6585365854,70.6829268293,75.8048780488,75.8048780488,72.7317073171,72.7317073171,76.8292682927,86.0487804878
68,76,86,97,107,131,141,151,161,166,82,74,71,72,77,78,74,73,77,85,,67,74.8823529412,84.7352941176,95.5735294118,105.4264705882,129.0735294118,138.9264705882,148.7794117647,158.6323529412,163.5588235294,84,75.8048780488,72.7317073171,73.756097561,78.8780487805,79.9024390244,75.8048780488,74.7804878049,78.8780487805,87.0731707317
69,76,87,98,107,130,140,150,160,166,82,75,72,74,79,79,75,74,77,85,,67,73.7971014493,84.4782608696,95.1594202899,103.8985507246,126.231884058,135.9420289855,145.652173913,155.3623188406,161.1884057971,84,76.8292682927,73.756097561,75.8048780488,80.9268292683,80.9268292683,76.8292682927,75.8048780488,78.8780487805,87.0731707317
69,76,87,98,107,129,139,150,159,165,85,77,74,75,80,80,76,76,80,88,,67,73.7971014493,84.4782608696,95.1594202899,103.8985507246,125.2608695652,134.9710144928,145.652173913,154.3913043478,160.2173913043,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,79.0588235294,75.1058823529,75.1058823529,79.0588235294,86.9647058824
69,76,87,98,107,129,139,150,160,165,85,77,74,75,80,80,75,75,79,88,,67,73.7971014493,84.4782608696,95.1594202899,103.8985507246,125.2608695652,134.9710144928,145.652173913,155.3623188406,160.2173913043,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,79.0588235294,74.1176470588,74.1176470588,78.0705882353,86.9647058824
69,76,86,97,107,130,139,150,160,166,86,78,74,75,80,80,76,75,80,88,,67,73.7971014493,83.5072463768,94.1884057971,103.8985507246,126.231884058,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76.1860465116,72.2790697674,73.2558139535,78.1395348837,78.1395348837,74.2325581395,73.2558139535,78.1395348837,85.9534883721
69,76,87,97,107,129,139,149,159,165,84,77,74,75,80,80,76,75,78,86,,67,73.7971014493,84.4782608696,94.1884057971,103.8985507246,125.2608695652,134.9710144928,144.6811594203,154.3913043478,160.2173913043,84,77,74,75,80,80,76,75,78,86
69,77,87,98,107,129,139,149,159,165,83,76,74,75,80,80,76,75,78,86,,67,74.768115942,84.4782608696,95.1594202899,103.8985507246,125.2608695652,134.9710144928,144.6811594203,154.3913043478,160.2173913043,84,76.9156626506,74.8915662651,75.9036144578,80.9638554217,80.9638554217,76.9156626506,75.9036144578,78.9397590361,87.0361445783
69,76,87,98,108,128,138,149,159,165,85,77,74,75,80,81,76,75,79,87,,67,73.7971014493,84.4782608696,95.1594202899,104.8695652174,124.2898550725,134,144.6811594203,154.3913043478,160.2173913043,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,80.0470588235,75.1058823529,74.1176470588,78.0705882353,85.9764705882
69,77,87,98,108,129,138,149,159,165,85,77,74,75,80,80,76,75,78,86,,67,74.768115942,84.4782608696,95.1594202899,104.8695652174,125.2608695652,134,144.6811594203,154.3913043478,160.2173913043,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,79.0588235294,75.1058823529,74.1176470588,77.0823529412,84.9882352941
69,76,87,98,107,129,138,149,159,165,84,77,74,75,80,80,76,74,77,85,,67,73.7971014493,84.4782608696,95.1594202899,103.8985507246,125.2608695652,134,144.6811594203,154.3913043478,160.2173913043,84,77,74,75,80,80,76,74,77,85
69,76,87,98,107,130,139,150,160,166,85,77,74,75,80,80,76,74,78,86,,67,73.7971014493,84.4782608696,95.1594202899,103.8985507246,126.231884058,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,79.0588235294,75.1058823529,73.1294117647,77.0823529412,84.9882352941
69,76,86,98,107,130,139,150,160,166,85,77,74,75,80,80,75,74,78,86,,67,73.7971014493,83.5072463768,95.1594202899,103.8985507246,126.231884058,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,79.0588235294,74.1176470588,73.1294117647,77.0823529412,84.9882352941
68,76,87,98,107,130,139,150,159,166,84,76,73,74,80,80,75,74,78,85,,67,74.8823529412,85.7205882353,96.5588235294,105.4264705882,128.0882352941,136.9558823529,147.7941176471,156.6617647059,163.5588235294,84,76,73,74,80,80,75,74,78,85
69,76,87,98,107,130,139,150,159,165,85,77,74,75,80,80,75,74,78,86,,67,73.7971014493,84.4782608696,95.1594202899,103.8985507246,126.231884058,134.9710144928,145.652173913,154.3913043478,160.2173913043,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,79.0588235294,74.1176470588,73.1294117647,77.0823529412,84.9882352941
69,76,87,98,107,130,140,150,160,166,83,75,72,74,79,80,75,74,77,84,,67,73.7971014493,84.4782608696,95.1594202899,103.8985507246,126.231884058,135.9420289855,145.652173913,155.3623188406,161.1884057971,84,75.9036144578,72.8674698795,74.8915662651,79.9518072289,80.9638554217,75.9036144578,74.8915662651,77.9277108434,85.0120481928
69,77,87,98,108,129,139,150,160,166,85,77,73,75,80,80,76,75,80,88,,67,74.768115942,84.4782608696,95.1594202899,104.8695652174,125.2608695652,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76.0941176471,72.1411764706,74.1176470588,79.0588235294,79.0588235294,75.1058823529,74.1176470588,79.0588235294,86.9647058824
69,77,87,98,108,130,139,150,160,166,85,77,74,75,80,80,76,75,79,88,,67,74.768115942,84.4782608696,95.1594202899,104.8695652174,126.231884058,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,79.0588235294,75.1058823529,74.1176470588,78.0705882353,86.9647058824
69,76,87,98,108,129,139,150,160,166,84,76,73,75,80,80,76,75,79,87,,67,73.7971014493,84.4782608696,95.1594202899,104.8695652174,125.2608695652,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76,73,75,80,80,76,75,79,87
67,74,84,96,107,133,143,154,163,168,82,72,68,69,73,74,70,69,73,83,,67,74,84,96,107,133,143,154,163,168,84,73.756097561,69.6585365854,70.6829268293,74.7804878049,75.8048780488,71.7073170732,70.6829268293,74.7804878049,85.0243902439
66,73,85,96,108,131,142,153,163,169,83,73,69,71,75,74,71,70,74,83,,67,74.1060606061,86.2878787879,97.4545454545,109.6363636364,132.9848484848,144.1515151515,155.3181818182,165.4696969697,171.5606060606,84,73.8795180723,69.8313253012,71.8554216867,75.9036144578,74.8915662651,71.8554216867,70.843373494,74.8915662651,84
67,74,86,97,108,130,141,152,163,169,83,74,71,73,78,77,73,71,74,83,,67,74,86,97,108,130,141,152,163,169,84,74.8915662651,71.8554216867,73.8795180723,78.9397590361,77.9277108434,73.8795180723,71.8554216867,74.8915662651,84
67,74,86,98,109,130,141,152,163,169,83,75,72,74,79,79,74,73,76,84,,67,74,86,98,109,130,141,152,163,169,84,75.9036144578,72.8674698795,74.8915662651,79.9518072289,79.9518072289,74.8915662651,73.8795180723,76.9156626506,85.0120481928
67,75,87,98,109,130,141,152,162,169,82,74,73,75,80,79,75,73,75,84,,67,75,87,98,109,130,141,152,162,169,84,75.8048780488,74.7804878049,76.8292682927,81.9512195122,80.9268292683,76.8292682927,74.7804878049,76.8292682927,86.0487804878
67,75,86,98,109,130,141,152,163,169,83,75,73,75,80,80,75,73,76,85,,67,75,86,98,109,130,141,152,163,169,84,75.9036144578,73.8795180723,75.9036144578,80.9638554217,80.9638554217,75.9036144578,73.8795180723,76.9156626506,86.0240963855
66,74,86,98,109,130,141,152,162,169,84,75,73,76,80,80,76,74,76,84,,67,75.1212121212,87.303030303,99.4848484848,110.6515151515,131.9696969697,143.1363636364,154.303030303,164.4545454545,171.5606060606,84,75,73,76,80,80,76,74,76,84
67,75,87,99,110,130,141,152,163,170,83,75,73,76,81,80,76,74,76,84,,67,75,87,99,110,130,141,152,163,170,84,75.9036144578,73.8795180723,76.9156626506,81.9759036145,80.9638554217,76.9156626506,74.8915662651,76.9156626506,85.0120481928
66,75,87,98,110,130,141,152,163,169,83,75,73,76,81,80,76,74,77,85,,67,76.1363636364,88.3181818182,99.4848484848,111.6666666667,131.9696969697,143.1363636364,154.303030303,165.4696969697,171.5606060606,84,75.9036144578,73.8795180723,76.9156626506,81.9759036145,80.9638554217,76.9156626506,74.8915662651,77.9277108434,86.0240963855
66,74,86,98,110,130,141,152,162,169,84,76,74,76,81,80,76,74,77,85,,67,75.1212121212,87.303030303,99.4848484848,111.6666666667,131.9696969697,143.1363636364,154.303030303,164.4545454545,171.5606060606,84,76,74,76,81,80,76,74,77,85
67,75,87,99,110,130,140,151,162,169,82,75,73,76,81,80,76,74,76,84,,67,75,87,99,110,130,140,151,162,169,84,76.8292682927,74.7804878049,77.8536585366,82.9756097561,81.9512195122,77.8536585366,75.8048780488,77.8536585366,86.0487804878
67,75,87,99,110,130,140,151,162,168,84,76,74,76,81,81,76,75,77,85,,67,75,87,99,110,130,140,151,162,168,84,76,74,76,81,81,76,75,77,85
67,74,86,98,109,130,141,152,162,169,84,76,74,76,81,80,76,74,77,86,,67,74,86,98,109,130,141,152,162,169,84,76,74,76,81,80,76,74,77,86
67,75,87,99,110,129,140,151,162,169,84,76,74,76,81,81,76,74,77,85,,67,75,87,99,110,129,140,151,162,169,84,76,74,76,81,81,76,74,77,85
67,75,86,98,109,130,140,151,162,169,83,76,74,76,81,81,76,75,77,85,,67,75,86,98,109,130,140,151,162,169,84,76.9156626506,74.8915662651,76.9156626506,81.9759036145,81.9759036145,76.9156626506,75.9036144578,77.9277108434,86.0240963855
67,75,87,99,110,130,141,152,162,168,84,76,74,76,81,81,76,75,78,86,,67,75,87,99,110,130,141,152,162,168,84,76,74,76,81,81,76,75,78,86
67,75,87,99,110,129,140,151,162,169,83,76,74,77,81,81,76,75,77,86,,67,75,87,99,110,129,140,151,162,169,84,76.9156626506,74.8915662651,77.9277108434,81.9759036145,81.9759036145,76.9156626506,75.9036144578,77.9277108434,87.0361445783
67,75,87,99,110,129,140,151,162,169,84,76,74,77,81,81,77,75,78,86,,67,75,87,99,110,129,140,151,162,169,84,76,74,77,81,81,77,75,78,86
66,74,86,98,110,130,141,152,163,170,84,76,74,76,81,81,76,75,77,86,,67,75.1212121212,87.303030303,99.4848484848,111.6666666667,131.9696969697,143.1363636364,154.303030303,165.4696969697,172.5757575758,84,76,74,76,81,81,76,75,77,86
67,75,86,98,109,129,140,151,162,169,85,76,74,77,81,81,77,75,78,86,,67,75,86,98,109,129,140,151,162,169,84,75.1058823529,73.1294117647,76.0941176471,80.0470588235,80.0470588235,76.0941176471,74.1176470588,77.0823529412,84.9882352941
67,75,87,99,110,129,140,151,162,169,84,76,74,77,81,81,77,75,77,85,,67,75,87,99,110,129,140,151,162,169,84,76,74,77,81,81,77,75,77,85
67,75,87,99,110,129,140,151,161,169,83,76,74,77,81,81,77,75,77,84,,67,75,87,99,110,129,140,151,161,169,84,76.9156626506,74.8915662651,77.9277108434,81.9759036145,81.9759036145,77.9277108434,75.9036144578,77.9277108434,85.0120481928
66,74,86,98,109,130,140,152,162,169,83,75,72,75,80,79,75,74,77,85,,67,75.1212121212,87.303030303,99.4848484848,110.6515151515,131.9696969697,142.1212121212,154.303030303,164.4545454545,171.5606060606,84,75.9036144578,72.8674698795,75.9036144578,80.9638554217,79.9518072289,75.9036144578,74.8915662651,77.9277108434,86.0240963855
66,73,84,96,107,132,142,153,163,168,82,73,69,70,74,74,71,70,74,83,,67,74.1060606061,85.2727272727,97.4545454545,108.6212121212,134,144.1515151515,155.3181818182,165.4696969697,170.5454545455,84,74.7804878049,70.6829268293,71.7073170732,75.8048780488,75.8048780488,72.7317073171,71.7073170732,75.8048780488,85.0243902439
68,75,85,96,105,132,142,152,161,167,80,72,69,70,75,76,72,71,74,82,,67,73.8970588235,83.75,94.5882352941,103.4558823529,130.0588235294,139.9117647059,149.7647058824,158.6323529412,164.5441176471,84,75.6,72.45,73.5,78.75,79.8,75.6,74.55,77.7,86.1
68,76,86,97,107,130,140,151,161,167,81,73,70,72,78,79,74,73,76,84,,67,74.8823529412,84.7352941176,95.5735294118,105.4264705882,128.0882352941,137.9411764706,148.7794117647,158.6323529412,164.5441176471,84,75.7037037037,72.5925925926,74.6666666667,80.8888888889,81.9259259259,76.7407407407,75.7037037037,78.8148148148,87.1111111111
