 X3, X4, X5, X6, X7, X8, X9, X49, X50, X51, X52, X53, X58, X59, X60, X61,,,,,,,,,,,,,,,,
1,0.8793103448,0.724137931,0.5172413793,0.2413793103,-0.1034482759,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,87.9310344828,72.4137931034,51.724137931,24.1379310345,-10.3448275862,-43.1034482759,17.2413793103,0,-12.0689655172,-24.1379310345,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8793103448,0.724137931,0.5172413793,0.2413793103,-0.0862068966,-0.4137931034,0.1724137931,0,-0.1206896552,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,87.9310344828,72.4137931034,51.724137931,24.1379310345,-8.6206896552,-41.3793103448,17.2413793103,0,-12.0689655172,-24.1379310345,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8793103448,0.7068965517,0.5,0.2413793103,-0.0862068966,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0344827586,0.1896551724,0.2413793103,0.0172413793,,87.9310344828,70.6896551724,50,24.1379310345,-8.6206896552,-43.1034482759,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,3.4482758621,18.9655172414,24.1379310345,1.724137931
1,0.8965517241,0.724137931,0.5172413793,0.2413793103,-0.0862068966,-0.4310344828,0.1551724138,0,-0.1206896552,-0.2586206897,0.6419753086,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,89.6551724138,72.4137931034,51.724137931,24.1379310345,-8.6206896552,-43.1034482759,15.5172413793,0,-12.0689655172,-25.8620689655,64.1975308642,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8771929825,0.7192982456,0.5087719298,0.2280701754,-0.1052631579,-0.4385964912,0.1578947368,0,-0.1403508772,-0.2807017544,0.6172839506,0,0.1754385965,0.2280701754,0,,87.7192982456,71.9298245614,50.8771929825,22.8070175439,-10.5263157895,-43.8596491228,15.7894736842,0,-14.0350877193,-28.0701754386,61.7283950617,0,17.5438596491,22.8070175439,0
1,0.8947368421,0.7192982456,0.5263157895,0.2456140351,-0.0877192982,-0.4385964912,0.1754385965,0,-0.1228070175,-0.2631578947,0.6375,0.0175438596,0.1754385965,0.2456140351,0.0175438596,,89.4736842105,71.9298245614,52.6315789474,24.5614035088,-8.7719298246,-43.8596491228,17.5438596491,0,-12.2807017544,-26.3157894737,63.75,1.7543859649,17.5438596491,24.5614035088,1.7543859649
1,0.8793103448,0.7068965517,0.5172413793,0.2413793103,-0.0862068966,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.224137931,0.0172413793,,87.9310344828,70.6896551724,51.724137931,24.1379310345,-8.6206896552,-43.1034482759,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,22.4137931034,1.724137931
1,0.8793103448,0.7068965517,0.5,0.2413793103,-0.0862068966,-0.4137931034,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,87.9310344828,70.6896551724,50,24.1379310345,-8.6206896552,-41.3793103448,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8965517241,0.724137931,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2586206897,0.6419753086,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,89.6551724138,72.4137931034,50,22.4137931034,-10.3448275862,-43.1034482759,17.2413793103,0,-12.0689655172,-25.8620689655,64.1975308642,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,87.9310344828,70.6896551724,50,22.4137931034,-10.3448275862,-43.1034482759,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8793103448,0.724137931,0.5172413793,0.2413793103,-0.0862068966,-0.4310344828,0.1724137931,0,-0.1379310345,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,87.9310344828,72.4137931034,51.724137931,24.1379310345,-8.6206896552,-43.1034482759,17.2413793103,0,-13.7931034483,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1034482759,-0.4482758621,0.1724137931,0,-0.1379310345,-0.2586206897,0.6296296296,0.0172413793,0.1896551724,0.2413793103,0.0172413793,,87.9310344828,70.6896551724,50,22.4137931034,-10.3448275862,-44.8275862069,17.2413793103,0,-13.7931034483,-25.8620689655,62.962962963,1.724137931,18.9655172414,24.1379310345,1.724137931
1,0.8983050847,0.7288135593,0.5254237288,0.2542372881,-0.0847457627,-0.4237288136,0.1525423729,0,-0.1355932203,-0.2542372881,0.6463414634,0.0169491525,0.1694915254,0.2372881356,0,,89.8305084746,72.8813559322,52.5423728814,25.4237288136,-8.4745762712,-42.3728813559,15.2542372881,0,-13.5593220339,-25.4237288136,64.6341463415,1.6949152542,16.9491525424,23.7288135593,0
