 Y17, Y18, Y19, Y20, Y21, Y22, Y23, Y24, Y25, Y26
82,74,71,73,78,77,73,71,74,83
83,74,72,74,79,79,74,72,75,84
83,75,73,75,80,80,74,73,76,84
83,75,73,75,79,79,75,73,76,84
83,75,73,75,80,80,75,74,76,85
83,75,73,75,80,80,76,74,76,84
83,76,74,76,80,80,76,74,77,85
83,76,74,76,80,80,76,75,77,84
83,76,74,76,80,80,76,75,77,85
83,76,74,76,80,80,76,75,77,84
83,76,74,76,81,80,76,75,77,85
83,76,74,76,80,80,76,75,77,85
83,76,74,76,80,80,76,75,77,85
83,76,74,76,80,80,76,75,77,85
83,76,74,76,80,80,76,75,77,85
83,76,74,76,81,80,76,75,78,85
83,76,74,76,81,80,76,75,77,85
83,76,74,76,81,81,77,75,77,85
83,76,74,76,80,80,76,75,78,85
83,76,74,76,81,81,76,75,77,85
83,75,72,73,78,78,74,73,77,85
85,76,72,72,77,78,74,75,79,88
83,75,71,72,78,79,75,75,79,88
85,77,74,74,79,80,76,76,80,89
86,78,74,75,80,80,76,76,81,89
85,77,73,74,79,80,75,76,80,89
84,77,73,74,79,80,75,76,80,89
84,76,73,73,78,79,75,75,80,89
83,75,72,73,78,79,74,74,78,87
84,76,73,73,78,78,74,75,79,88
84,77,73,74,79,79,75,75,80,88
85,77,73,74,79,79,75,75,80,89
84,77,73,74,79,79,75,76,80,89
81,74,71,73,78,78,74,74,78,87
82,75,72,73,78,78,74,74,78,87
81,74,72,73,77,78,73,73,77,84
81,73,71,72,77,78,74,73,77,86
80,73,71,72,77,78,73,72,76,84
79,72,71,72,77,78,73,73,76,84
79,72,71,72,77,77,73,73,76,84
80,73,70,72,77,77,73,73,76,84
79,72,69,71,77,77,73,73,77,85
80,71,67,68,72,73,69,69,73,82
81,72,69,71,76,75,71,70,73,82
81,73,70,72,77,77,72,71,74,83
82,73,71,73,78,78,73,72,75,83
82,74,71,73,78,78,74,72,75,84
82,74,72,74,79,78,75,73,75,83
82,74,73,75,79,79,75,73,76,83
82,74,72,75,79,79,75,73,76,83
82,75,73,75,79,79,75,74,76,84
82,75,73,75,80,80,76,74,76,83
82,74,73,75,80,79,75,74,76,84
82,75,73,75,80,79,75,74,76,84
83,75,73,75,80,79,75,74,76,84
82,75,73,75,79,79,75,74,76,84
83,75,73,75,79,79,75,74,76,84
81,74,73,75,79,79,76,74,76,83
83,75,73,75,79,79,76,74,76,84
82,75,73,75,80,79,75,74,76,84
82,75,73,75,80,79,75,74,76,83
82,74,73,75,79,80,75,74,76,84
82,75,73,75,80,79,75,74,76,84
82,75,73,75,79,80,76,74,76,84
83,75,73,75,80,80,76,74,76,84
82,75,73,75,79,79,75,74,76,83
83,75,73,75,79,79,75,74,77,84
81,73,70,71,75,75,71,70,73,82
80,72,68,69,74,75,71,72,76,84
84,76,72,73,77,78,74,74,79,87
82,74,71,72,77,77,73,73,77,86
80,73,70,71,76,77,72,71,74,82
81,74,71,72,77,77,72,72,75,84
82,74,71,72,77,78,73,72,76,84
83,75,72,72,78,78,73,72,76,85
81,73,71,72,77,77,72,71,74,82
81,73,70,71,76,77,72,71,75,83
81,74,71,72,77,77,73,72,74,81
81,73,69,70,75,76,71,71,74,82
82,74,71,71,76,77,72,71,74,83
79,73,71,72,78,78,73,72,74,81
78,71,68,70,76,76,71,70,74,81
77,71,68,70,75,76,70,69,72,79
80,74,71,72,77,77,72,71,74,81
77,70,68,70,76,76,71,69,71,78
79,72,69,70,75,75,70,69,73,80
80,72,69,70,75,75,71,70,74,82
79,71,69,70,75,75,70,69,72,80
78,70,67,69,74,75,70,70,73,80
79,72,69,70,75,76,71,71,74,81
80,72,69,70,75,75,70,70,73,81
79,71,67,69,74,74,70,69,72,80
79,71,67,68,73,73,69,68,72,81
79,69,65,66,70,70,66,66,70,79
80,71,67,68,72,71,67,67,71,80
81,72,69,70,74,74,69,68,72,81
81,72,69,71,75,75,70,69,72,81
81,73,70,72,77,76,71,70,73,82
81,73,70,72,77,76,72,70,73,81
81,73,70,72,77,76,72,71,73,82
81,73,70,72,77,76,72,70,73,82
