 X17, X18, X19, X20, X21, X22, X23, X24, X25, X26
71,80,94,107,120,138,150,163,175,183
70,80,94,107,120,138,150,163,175,184
71,80,94,107,120,138,150,163,175,184
71,80,94,107,120,138,150,163,175,184
70,80,93,107,120,138,151,163,175,184
70,79,93,107,120,138,150,163,175,184
70,80,94,107,121,138,150,163,175,184
71,80,94,107,120,138,151,163,175,183
72,81,94,107,120,138,150,163,175,183
72,81,94,107,120,139,150,162,174,182
71,80,94,107,120,139,150,162,174,182
72,81,94,108,121,138,150,163,175,182
71,80,94,107,120,139,151,163,175,182
73,82,95,108,121,139,151,163,174,181
73,82,95,108,120,139,151,163,174,182
71,80,94,107,121,139,151,163,175,183
72,81,94,108,121,139,150,163,174,182
72,81,94,108,121,140,151,163,175,182
73,82,95,108,121,140,151,163,175,182
73,82,95,108,121,139,151,163,175,182
72,81,94,108,121,139,151,163,175,182
73,81,95,108,121,139,151,163,175,182
71,80,93,107,120,139,151,163,175,183
72,81,94,107,120,140,151,163,175,183
72,81,94,108,120,140,152,164,176,183
72,81,94,107,120,139,151,164,176,183
71,80,94,107,121,139,151,164,176,184
71,81,94,107,120,139,151,164,176,184
71,80,93,107,119,139,151,164,176,184
71,80,93,107,119,139,151,163,175,183
71,80,93,107,120,139,151,164,176,184
71,80,93,106,119,139,151,163,175,183
71,81,94,107,120,139,151,163,174,183
71,80,93,106,119,139,151,163,175,183
71,80,94,107,120,139,151,163,175,183
71,80,93,107,120,139,151,164,176,184
71,80,93,107,120,139,151,163,175,183
71,80,94,107,120,138,150,163,175,184
71,80,93,107,120,139,151,163,175,183
71,81,94,107,120,139,151,164,175,183
71,80,94,107,120,139,151,164,176,184
71,80,94,107,120,138,150,163,175,183
72,81,94,107,120,139,151,163,174,182
72,81,94,107,120,139,150,162,174,181
70,79,93,106,120,138,149,162,174,182
71,80,93,107,120,138,150,162,174,182
72,81,94,107,120,138,150,162,174,182
72,81,94,107,120,138,150,162,174,181
73,82,95,108,120,138,150,162,173,181
73,82,95,107,120,138,150,161,173,180
73,82,95,108,120,138,150,162,173,181
72,81,94,107,120,138,149,162,173,181
72,82,94,108,120,138,150,162,173,180
73,82,94,107,120,138,149,161,173,180
73,82,94,107,120,138,150,161,173,180
72,82,94,107,120,138,150,161,172,180
71,80,93,107,120,139,150,162,174,181
71,80,93,107,120,138,150,162,174,182
71,80,93,107,120,138,150,163,175,183
71,81,94,107,120,138,150,162,174,182
70,80,93,107,120,139,151,163,175,183
71,80,94,107,120,139,151,163,175,183
71,81,94,107,120,140,151,164,175,183
71,80,94,107,120,139,150,163,175,183
71,81,94,107,120,139,151,164,175,184
71,80,94,107,120,139,151,164,176,184
71,80,94,107,121,139,151,164,176,184
71,80,94,107,120,138,150,163,175,183
71,81,94,107,120,139,151,163,176,184
71,80,94,107,121,139,151,164,176,184
71,81,94,108,121,139,151,164,176,184
72,81,94,108,121,139,151,164,176,184
72,81,94,107,120,139,151,164,175,183
71,80,93,107,120,139,151,163,175,183
72,81,94,108,120,139,151,163,175,183
71,80,94,107,120,139,151,164,176,184
72,81,94,108,120,139,151,164,175,183
72,81,94,108,121,139,151,163,175,183
72,81,94,108,121,139,150,163,175,183
72,81,94,108,121,139,151,163,175,182
73,82,95,108,121,139,150,163,174,181
74,83,95,108,121,139,150,162,173,180
73,82,95,108,120,139,150,162,174,181
73,82,94,108,120,139,150,162,174,181
73,82,95,108,120,139,150,162,174,181
73,82,95,108,121,139,151,163,174,181
73,82,95,108,121,138,150,163,174,181
73,82,95,108,121,139,151,163,175,182
72,81,95,108,121,139,151,163,175,182
71,81,94,108,121,139,151,163,175,183
72,81,94,108,120,139,151,163,174,182
72,81,94,108,121,139,151,163,175,183
72,81,94,108,120,139,151,163,175,183
72,81,94,107,120,139,151,164,175,183
72,81,95,108,121,139,151,164,176,184
72,81,94,108,121,139,151,164,175,183
72,81,94,108,120,139,151,163,175,183
71,81,94,107,120,139,151,163,175,183
71,80,94,107,120,139,151,163,175,183
71,81,94,108,120,138,150,163,175,183
72,81,94,108,120,139,150,163,175,183
71,80,93,107,120,139,150,163,175,183
72,81,94,107,120,139,151,163,174,183
71,80,94,107,120,139,151,163,175,183
71,81,94,107,120,139,151,164,176,184
71,81,94,107,120,139,151,163,175,184
72,81,94,107,120,138,150,162,174,181
72,81,94,107,120,138,150,162,174,182
72,81,94,107,120,138,150,162,173,181
72,81,94,107,120,138,150,162,174,182
72,81,94,107,120,138,150,162,174,181
72,81,94,108,121,138,149,162,174,181
72,81,94,108,120,138,150,162,173,181
73,82,95,108,121,138,150,162,173,181
73,82,95,108,121,138,150,162,174,181
73,82,95,108,121,138,150,163,174,181
73,82,95,108,121,139,150,162,174,181
73,82,95,108,121,138,150,163,174,181
73,82,95,108,121,138,150,162,174,181
74,83,95,108,120,139,150,162,173,180
72,81,94,107,120,139,151,163,175,183
72,81,94,107,120,140,151,163,174,182
72,81,94,107,120,139,151,163,174,182
72,81,94,108,120,139,151,164,175,183
72,81,94,107,120,139,151,163,175,183
72,81,94,108,121,139,151,163,176,184
72,81,94,108,121,139,151,164,176,184
72,81,94,108,120,139,151,163,175,183
73,82,95,108,121,139,151,163,175,183
72,81,94,107,120,139,151,163,175,184
72,82,95,108,121,139,151,163,175,183
72,81,95,108,121,139,151,163,175,183
72,81,94,107,120,139,151,163,175,183
73,82,95,108,120,139,151,163,175,183
72,81,94,107,120,139,151,164,176,184
72,81,94,107,120,139,150,163,174,182
73,82,95,108,121,139,151,163,175,184
72,82,95,108,121,139,151,163,175,183
73,82,95,108,121,140,152,164,175,183
73,82,95,108,121,140,151,163,175,183
73,82,95,108,121,140,151,163,175,183
73,82,95,109,121,139,151,163,175,182
73,82,95,108,121,138,150,163,175,182
73,82,95,108,121,139,151,163,175,182
73,82,95,108,121,139,151,163,175,182
73,82,95,109,121,139,151,163,175,183
73,82,95,108,121,139,150,163,175,182
73,82,95,109,121,138,150,162,174,181
73,82,95,108,121,139,151,163,175,182
74,83,96,109,121,140,152,164,175,182
75,83,96,109,121,139,150,162,173,180
74,82,95,108,121,138,150,162,173,180
73,82,95,108,121,139,151,163,175,182
73,82,95,108,120,139,151,163,174,182
73,82,95,108,121,140,151,163,175,182
72,81,94,108,121,139,151,163,175,183
72,81,94,108,121,139,151,163,175,183
72,81,94,107,120,139,151,163,175,183
71,80,94,107,120,138,150,163,176,184
72,81,94,107,120,138,150,163,175,183
72,81,94,108,121,139,151,163,175,183
71,80,93,107,120,138,150,163,175,184
72,81,94,107,120,139,150,163,175,183
71,80,94,107,121,138,150,163,175,183
71,80,94,107,121,139,150,163,175,183
71,80,94,108,121,138,150,163,175,183
72,81,94,108,121,139,150,163,175,183
72,81,94,108,121,138,150,163,175,183
72,81,94,108,121,139,150,163,175,183
72,81,94,108,121,139,150,163,175,183
73,82,95,108,121,140,151,163,175,182
73,82,95,108,121,139,151,162,174,181
73,82,95,108,121,139,151,163,174,181
72,81,94,108,121,139,151,163,175,182
72,82,95,108,121,139,151,163,175,182
72,81,94,108,121,139,151,163,174,182
73,82,95,109,121,139,151,163,174,182
72,81,94,108,121,139,151,163,174,182
72,82,95,108,121,139,151,163,174,182
71,80,94,108,121,139,151,163,175,183
72,81,94,108,121,139,151,163,175,182
72,81,94,108,121,139,150,163,174,182
73,81,95,108,121,138,150,162,174,182
73,82,95,108,121,139,150,162,174,182
72,81,94,108,121,138,150,162,174,182
