EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawFwd,JawLeft,JawOpen,JawChew,JawRight,MouthLeft,MouthRight,MouthFrown_L,MouthFrown_R,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,LipsUpperClose,LipsLowerClose,LipsUpperUp,LipsLowerDown,LipsUpperOpen,LipsLowerOpen,LipsFunnel,LipsPucker,ChinLowerRaise,ChinUpperRaise,Sneer,Puff,CheekSquint_L,
0.000376604,0.0535283,0,0,0.638516,0.636407,0,0.596191,0.0198414,0,0.391694,0,0.00029161,0,0.247665,0.319392,0.00175908,0,0,0,0.0982454,0.0741022,0.217688,0,0.0418118,0,0.00164972,0,0.0051781,0,0.0302189,0.00467629,0.00398926,0.240957,0.1515,0.0408671,0.00081877,0.0174379,0.00054709,0.000366326,0.00595178,0.246788,0.086146,0.000166781,0.278795,0.0117174,0.0197976,
0.00437699,0.0592744,0,0,0.642593,0.640329,0,0.595381,0.0130668,0,0.394528,0,0.00019311,0,0.296084,0.369571,0.000433964,0,0,0,0.0913582,0.133672,0.189971,0,0.0438275,0,0.00655658,0,0.00129626,0,0.0222421,0.00722352,0.016813,0.207641,0.138119,0.0530097,0.000297865,0.0319479,0.000181384,0.00124949,0.0185603,0.217168,0.0471321,5.10044e-05,0.213106,0.00260501,0.0162253,
0.0200091,0.0742726,0,0,0.645973,0.643599,0,0.594625,0.00319064,0,0.398369,0,0.000132982,0,0.375942,0.439472,2.0827e-05,0,0,1.11971e-05,0.0830829,0.172086,0.150606,0,0.0464155,0,0.0118487,2.8382e-05,6.27905e-05,0,0.0152818,0.00601753,0.0306396,0.17371,0.133527,0.0690148,1.56087e-05,0.0341287,9.50488e-06,0.00122088,0.0355474,0.199504,0.0164502,2.67274e-06,0.145558,0.000121854,0.00910094,
0.0406788,0.0931813,0,0,0.650577,0.648159,0,0.592967,0.000153376,0,0.401073,0,7.9863e-05,0,0.458361,0.501325,0,0,0,0.000259754,0.0752892,0.173566,0.105767,0,0.0363768,0,0.0112622,0.000628841,7.10921e-07,0,0.00987045,0.00285497,0.0337417,0.156768,0.132345,0.0838242,0,0.0231193,0,0.000345858,0.0579515,0.204568,0.00283213,0,0.10224,0,0.0030522,
0.0562358,0.106327,0,0,0.654703,0.652311,0,0.585664,0,0,0.3968,0,3.04675e-05,0,0.519407,0.538541,0,0,0,0.0015328,0.0711076,0.148577,0.0628831,0,0.0182698,0,0.00550065,0.00325678,1.35666e-05,0,0.00560258,0.000593695,0.0247516,0.158425,0.122279,0.0936379,0,0.0095992,0,1.71765e-05,0.0930283,0.230579,0.00012348,0,0.0854126,0,0.000485087,
0.0632279,0.10793,0,0,0.655326,0.653054,0,0.562791,0,0,0.375597,0,5.64896e-06,0,0.550737,0.549093,0,0,0,0.00423108,0.072403,0.117167,0.028651,0,0.00559677,0,0.00112044,0.00789878,3.62539e-05,0,0.00231162,2.73621e-05,0.0118218,0.167771,0.0984295,0.0974024,0,0.0022076,0,0,0.13884,0.265359,0,0,0.0869137,2.78536e-06,2.04171e-05,
0.0645883,0.102515,0,0,0.652613,0.650818,0,0.511987,0,0,0.324202,0,2.52066e-07,0,0.555721,0.541083,0,0,0,0.00697927,0.0785666,0.0919167,0.00816654,0,0.00236979,0,5.18715e-05,0.0121386,1.35666e-05,0,0.000460145,0,0.00312378,0.17471,0.0707018,0.0951002,0,0.000301302,0,0,0.180222,0.297179,0,0,0.095946,5.31534e-05,0,
0.0618356,0.094725,0,0,0.648118,0.647128,0,0.444817,0,0,0.251981,0,0,0,0.542773,0.525995,0,0,0,0.00791751,0.0864707,0.0785869,0.00483383,0,0.0075527,0,1.26264e-05,0.01299,7.10921e-07,0,2.09936e-05,0,0.000366694,0.172294,0.0522304,0.0876296,0,0.000149207,0,0,0.201631,0.317217,0,0,0.104569,0.000142042,0,
0.0556482,0.0842083,0,0,0.645373,0.64469,0,0.412476,0,0,0.216584,0,0,0,0.523017,0.512691,0,0,0,0.00638418,0.0914944,0.078462,0.0201871,0,0.0146765,0,3.37414e-05,0.00963608,0,0,0,0,1.32658e-05,0.15861,0.0547013,0.0768406,0,5.61932e-05,0,0,0.197661,0.321669,0,0,0.109372,5.31534e-05,0,
0.0505884,0.0759191,0,0,0.64421,0.643492,0,0.404465,0,0,0.208052,0,0,0,0.504778,0.503436,0,0,0,0.00351801,0.090379,0.0869592,0.0531915,0,0.0134265,0,1.26264e-05,0.00444458,1.22879e-05,0,1.38056e-05,0,0,0.139399,0.0847363,0.0637983,0,0.000113289,0,0,0.171691,0.312673,1.81314e-05,0,0.111969,2.78536e-06,0,
0.0492209,0.075749,0,0,0.644321,0.643553,0,0.403284,0,0,0.207246,0,0,0,0.487099,0.493846,0,0,0,0.00118228,0.084353,0.0940728,0.097771,0,0.00772111,0,6.61652e-07,0.000918346,0.00031084,0,0.000316376,0,0,0.126279,0.132773,0.0476031,0,0.000303258,3.98105e-05,0,0.129509,0.294352,0.000426779,4.00613e-05,0.120229,0,0,
0.0501274,0.0831255,0,0,0.644644,0.64394,0,0.402049,0,0,0.205682,0,5.22595e-07,0,0.463423,0.479344,0,0,0,0.000191867,0.0783273,0.0915649,0.146059,0,0.00981619,0,5.23932e-06,4.22739e-05,0.00223008,0,0.00180515,6.29912e-06,0,0.123913,0.175748,0.0301132,5.84443e-05,0.000259172,0.000824305,0,0.0807009,0.27557,0.00267839,0.000841545,0.142927,0,0,
0.0512059,0.09013,0,0,0.64411,0.643565,0,0.399872,0,0,0.202054,0,1.04763e-05,0,0.430908,0.460472,0,0,0,8.15353e-06,0.076892,0.0765304,0.191308,0,0.021386,0,9.99828e-05,0,0.00706182,0,0.00478028,0.000120207,3.11261e-06,0.13107,0.207188,0.0167873,0.0011154,0.000485651,0.00326331,0,0.0407247,0.271885,0.0088809,0.00351412,0.183166,3.88582e-05,0,
0.0502589,0.0902621,0,0,0.642076,0.641703,0,0.396987,0,0,0.197002,0,3.74782e-05,0,0.39652,0.445066,0,0,0,0,0.080345,0.0525333,0.227325,0,0.0316773,0,0.000267184,0,0.0118115,0,0.00729023,0.000321231,5.93985e-05,0.141087,0.232657,0.0122859,0.00298234,0.000446482,0.00406466,1.71721e-05,0.0149399,0.289282,0.0197782,0.00469567,0.230026,0.000741568,0,
0.0474987,0.0862659,0,0,0.639913,0.639656,0,0.394736,0,0,0.192787,0,6.11005e-05,0,0.375573,0.445494,0,0,0,0,0.0845443,0.0346376,0.245788,0,0.0317202,0,9.99828e-05,0,0.0139825,0,0.00794713,0.000120207,0.00015873,0.142689,0.238437,0.0144835,0.0011154,0.000964626,0.00148637,0.0003277,0.00291946,0.309038,0.0314713,0.00150985,0.255442,0.00198217,2.09347e-06,
0.0410261,0.0823228,0,0,0.63719,0.637048,0,0.396079,0,0,0.191169,0,0.000115746,0,0.380809,0.469853,0,0,0,0,0.0861827,0.0393032,0.240316,0,0.0243926,0,4.28429e-05,0,0.0162554,0,0.0087389,7.63282e-05,7.76633e-05,0.128824,0.198144,0.0167399,5.84443e-05,0.00230554,0.000898666,0.00087575,0.000640099,0.30235,0.0383438,7.70075e-05,0.238747,0.000741568,4.3148e-05,
0.0343942,0.0825399,0,0,0.63352,0.633439,0,0.405237,0,0,0.197555,0,0.000172945,0,0.415103,0.51593,0,0,0,0,0.0891409,0.0647548,0.219437,0,0.0188615,0,0.00102314,0,0.0140025,1.27664e-05,0.00736122,0.00159433,0.000484552,0.103799,0.151493,0.020645,0,0.000860579,0.00100959,0.0003277,0.00328861,0.280021,0.0381862,0,0.188926,3.88582e-05,0.000167786,
0.0360834,0.0863374,0,0,0.631258,0.630981,0,0.426094,0,0,0.219637,0,0.000167899,0,0.471347,0.572848,0,0,0,0,0.097645,0.111594,0.19632,0,0.0192432,0,0.00854999,0,0.00694768,0.000340387,0.00364398,0.00899332,0.00380138,0.075827,0.131044,0.0284993,0,4.50938e-05,0.00031389,1.71721e-05,0.013845,0.260546,0.0283368,0,0.12882,0,0.000203035,
0.0408652,0.0894631,0,0,0.63085,0.630157,0,0.460902,0,0,0.258835,0,0.000126189,0,0.530964,0.626237,0,0,0,0,0.111458,0.175411,0.178746,0,0.0263274,0,0.033281,0,0.001466,0.00267158,0.00077174,0.024382,0.014047,0.049867,0.131171,0.0369059,0,4.99174e-06,1.59032e-05,0,0.0257629,0.245894,0.0136013,0,0.0759265,0,6.31218e-05,
0.041233,0.0888345,0,0,0.632092,0.631005,0,0.496079,0,0,0.297898,0,9.52951e-05,0,0.575204,0.665663,0,0,0,0,0.127011,0.243169,0.169753,0,0.0359709,0,0.0758659,0,6.78032e-05,0.00868685,3.57311e-05,0.0418345,0.0304291,0.0279755,0.138439,0.0402697,0,9.52582e-05,0,0,0.0299682,0.233023,0.00409721,0,0.0376321,0,3.19802e-06,
0.036723,0.0861392,0,0,0.63464,0.633439,0,0.51143,0,0,0.314189,0,8.82439e-05,0,0.597764,0.688444,0,0,0,0,0.140491,0.297596,0.169368,0,0.0447163,0,0.121255,0,0,0.0145352,0,0.0526029,0.0464788,0.0120418,0.144839,0.0349852,0,0.000254559,0,0,0.0229523,0.220963,0.00840061,0,0.0148237,0,0,
0.0307805,0.0853327,0,0,0.637943,0.636688,0,0.514801,0,0,0.316888,0,9.78013e-05,0,0.604985,0.699817,0,0,0,0,0.149056,0.330033,0.175783,0,0.0516445,0,0.155701,0,0,0.0163369,0,0.0535485,0.0560812,0.00327881,0.149926,0.0227144,0,9.52582e-05,0,0,0.0106679,0.211615,0.0268298,0,0.00399077,0,0,
0.0271661,0.0886558,0,0,0.64152,0.640162,0,0.515702,0,0,0.316955,0,0.000116477,0,0.60732,0.707512,0,0,0,0,0.151067,0.342406,0.186703,0,0.0532838,0,0.174843,0,0,0.0141135,0,0.0473209,0.0582278,0.000438742,0.153351,0.010009,0,4.99174e-06,0,0,0.00223056,0.205874,0.0520086,0,0.000560891,0,0,
0.0451399,0.107231,0,0,0.652976,0.651299,0,0.516648,0,0,0.321381,0,7.64707e-05,0,0.621851,0.721061,0,0,0,0,0.120785,0.296464,0.233796,0,0.0461953,0,0.158975,0,0,0.00427725,0.000157329,0.0243089,0.042712,0.00714872,0.130022,7.51995e-05,0,0,0.000232167,0,0.00171359,0.210688,0.0939271,0,0.00236447,0,0,
0.0514588,0.105616,0,0,0.655591,0.653877,0,0.516252,0,0,0.322471,0,4.03452e-05,0,0.614128,0.702941,0,0,0,0,0.105775,0.246948,0.255179,0,0.0433704,0,0.12674,0,0,0.00167225,0.000420434,0.017874,0.028764,0.0275544,0.116522,0.000176604,0,1.85822e-05,0.00166188,0,0.000591145,0.222191,0.10027,5.00141e-05,0.0152383,0,0,
0.0538387,0.102795,0,0,0.65816,0.656436,0,0.514283,0,0,0.322907,0,9.47415e-06,0,0.588489,0.664958,0,0,0,0,0.0964506,0.189592,0.280913,0,0.0416654,0,0.0847254,0,1.88738e-06,0.000314498,0.000219451,0.0129863,0.0138802,0.068468,0.116416,6.60872e-05,8.06985e-05,0.000420595,0.00529768,1.39741e-05,0.00155915,0.243337,0.109284,0.00106222,0.0502514,0,0,
0.0456052,0.0928036,0,0,0.661927,0.660158,0,0.512477,0.00017197,0,0.322515,0,1.97057e-06,0,0.541018,0.607879,0,0,0,0,0.0972645,0.132977,0.308294,0,0.0452147,0,0.044247,0,3.60171e-05,0.000288516,0.00123669,0.0100236,0.00398829,0.126758,0.139257,3.46311e-06,0.00154025,0.00220729,0.00896496,0.000266672,0.00617881,0.270098,0.123359,0.00460983,0.110702,4.03434e-05,2.13855e-05,
0.0256947,0.0739021,0,0,0.666778,0.664951,0,0.513241,0.00356377,0,0.321585,0,9.81673e-06,0,0.478626,0.543809,0,0,0,0,0.107185,0.0813871,0.328742,0,0.0601189,0,0.015964,0,0.000165167,0.000735782,0.00406674,0.00644829,0.000543806,0.184574,0.180891,0,0.00413484,0.00372193,0.00812466,0.000712648,0.00829573,0.296133,0.138903,0.00645844,0.181924,0.000769912,0.000487704,
0.0059934,0.0556858,0,0,0.670593,0.668833,0,0.51712,0.0144754,0,0.32005,0,6.88093e-05,0,0.424672,0.496712,0,0,0,0,0.117403,0.0479972,0.330163,0,0.0795293,0,0.00289407,0,0.00140234,0.000275328,0.00493133,0.00339767,7.17437e-05,0.21536,0.209292,0.000112814,0.00181641,0.00135408,0.00233479,0.000266672,0.00266978,0.308873,0.143214,0.00210613,0.224903,0.00205798,0.00273656,
0.00028602,0.0502858,0,0,0.668031,0.666529,0,0.522187,0.0233683,0,0.318918,0,0.000219364,0,0.397274,0.478922,0,0,0,0,0.119307,0.0550055,0.305767,0,0.0843247,0,0.000129418,0,0.00449292,1.44277e-05,0.00597801,0.00860627,0.00113465,0.211667,0.185699,0.002615,0.000818593,0.00175062,0.000116511,1.39741e-05,0.000187722,0.292782,0.124963,0.000107711,0.221491,0.000769912,0.00698304,
0,0.058524,0,0,0.664227,0.662906,0,0.525524,0.0251591,0,0.320499,0,0.000280657,0,0.403482,0.492241,0,0,0,0,0.111593,0.0962394,0.261631,0,0.0747486,0,4.24916e-05,0,0.00391847,0,0.00446576,0.0178625,0.00622211,0.182959,0.151748,0.0156439,0.000276108,0.00868002,0,0,0.00110266,0.270377,0.0874711,0,0.181377,4.03434e-05,0.00996115,
0.000367987,0.0750422,0,0,0.663057,0.6617,0,0.528085,0.0230875,0,0.325868,0,0.000200543,0,0.439679,0.530571,0,0,0,2.06914e-05,0.0963189,0.14426,0.206737,0,0.0658812,0,0.000569944,6.29488e-05,0.00104244,0,0.00190914,0.0214407,0.016478,0.145652,0.144431,0.0467184,1.44686e-05,0.0209839,0,0,0.00517687,0.26332,0.0456826,0,0.130759,0,0.00836082,
0.00767454,0.0953251,0,0,0.6649,0.663384,0,0.530826,0.0170997,0,0.333402,0,8.52572e-05,0,0.492426,0.580413,0,0,0,0.000469437,0.0755146,0.17252,0.147948,0,0.0568552,0,0.00177931,0.00144797,5.1011e-05,0,0.00626415,0.0165838,0.0286116,0.114622,0.16423,0.0911797,0,0.0335106,0,0,0.0128608,0.268884,0.0158204,0,0.0882428,0,0.00388846,
0.0325117,0.114086,0,0,0.669193,0.667489,0,0.533679,0.00470376,0,0.340734,0,0.000103087,0,0.545699,0.627349,0,0,0,0.00261531,0.0529785,0.172521,0.0917244,0,0.0446441,0,0.0016077,0.00844873,4.30741e-06,0,0.0230973,0.00836102,0.0372573,0.0985054,0.194328,0.13463,0,0.0431544,1.0199e-05,0,0.0295058,0.281669,0.00274294,0,0.0578869,0,0.000783046,
0.0572618,0.127313,0,0,0.673768,0.671879,0,0.536003,0.000232985,0,0.346549,0,6.90578e-05,0,0.590126,0.663481,0,0,0,0.00697604,0.0334652,0.151372,0.0444638,0,0.0344602,0,0.000438557,0.0245022,8.2199e-05,0,0.048982,0.00244288,0.0377046,0.0956692,0.211975,0.166633,0,0.0515499,0.000210784,3.33791e-07,0.0637963,0.30347,0.000119958,1.7255e-05,0.0402917,4.38088e-06,3.57073e-05,
0.0726138,0.130962,0,0,0.676792,0.674754,0,0.537228,0,0,0.350487,0,1.53817e-05,0,0.619345,0.684159,0,0,0,0.0118298,0.0202279,0.124099,0.0139998,0,0.0262279,1.94966e-06,2.15927e-05,0.0465016,0.00021966,0,0.0736847,0.000336961,0.0299114,0.100335,0.208468,0.184972,0,0.061747,0.000828418,6.36979e-06,0.11499,0.33317,0,0.000352751,0.0347477,8.36011e-05,0,
0.0776481,0.125085,0,0,0.677939,0.675786,0,0.537323,0,0,0.352312,0,7.16777e-07,0,0.627668,0.685361,0,0,0,0.0145226,0.0140089,0.102416,0.0072127,0,0.0144531,3.72057e-05,1.02536e-05,0.0647782,8.2199e-05,0,0.088058,1.33416e-05,0.0186237,0.107831,0.195188,0.193548,0,0.0735389,0.00101852,2.06039e-05,0.159355,0.359288,0,0.00134886,0.0389864,0.000223407,0,
0.0714356,0.111838,0,0,0.677603,0.675394,0,0.537605,0,0,0.352532,0,0,0,0.609171,0.662762,0,0,0,0.0134437,0.0139713,0.0891402,0.0277207,0,0.00357213,9.94244e-05,0.000202247,0.0692555,4.30741e-06,0,0.0887079,0,0.0089778,0.116389,0.189275,0.195539,0,0.0851238,0.000320027,8.40319e-05,0.173781,0.373206,0,0.00192719,0.0549233,8.36011e-05,0,
0.0546776,0.09403,0,0,0.677376,0.67521,0,0.537888,0.00011504,0,0.35094,0,0,0,0.55988,0.613432,0,0,0,0.00909981,0.0179088,0.0797628,0.0752984,0,0.00447343,3.72057e-05,0.000648372,0.0562638,6.80753e-05,0,0.0767303,0,0.00330516,0.126804,0.200179,0.190265,0,0.0952843,6.62131e-05,0.000364193,0.154945,0.379341,1.15446e-06,0.00153693,0.0912293,3.06911e-05,9.89171e-06,
0.0299958,0.0741052,0,0,0.678219,0.676131,0,0.537157,0.00245801,0,0.346998,0,2.9454e-06,0,0.48372,0.54096,0,0,0,0.00397513,0.0238174,0.0658367,0.143404,0,0.020395,1.94966e-06,0.000530969,0.0331989,0.0015437,0,0.0579876,0,0.000880852,0.139799,0.231791,0.174732,0,0.097155,0.000475831,0.000611573,0.109733,0.384892,5.35193e-05,0.000424526,0.150592,0.000648221,0.000229061,
0.00698466,0.0562323,0,0,0.677154,0.675173,0,0.535644,0.0112459,0,0.340492,0,6.08421e-05,0,0.395635,0.458112,0,0,0,0.000800221,0.0291113,0.0424075,0.216452,0,0.0443332,0,0.000135724,0.0128504,0.00863557,0,0.0429322,0,0.000131997,0.151431,0.272521,0.149777,9.88275e-05,0.0846939,0.00109221,0.000413265,0.0529975,0.389244,0.000659796,5.55013e-05,0.221765,0.00424373,0.00133832,
