LipsUpperUp_L
0.030159
0.0417127
0.100559
0.175743
0.198628
0.192251
0.186934
0.180066
0.156955
0.114185
0.074811
0.0251348
0.00362534
0.000146724
0
0
0
0
0
0
0
0
0
0
0
0
7.30969E-005
0.0016571
0.00938011
0.0271691
0.0408494
0.0284804
0.0569987
0.13829
0.207994
0.233448
0.236061
0.225284
0.213862
0.196953
0.172894
0.149683
0.136809
0.130715
0.126621
0.122636
0.116979
0.10889
0.100925
0.0987329
0.100693
0.10264
0.104608
0.111762
0.116299
0.122194
0.12772
0.129762
0.132806
0.136149
0.13092
0.11361
0.0787381
0.0342771
0.00682382
0.000313806
0
0
0
0
4.00402E-005
0.000838649
0.00363748
0.00811187
0.0151684
0.0168693
0.0121006
0.0277019
0.0405117
0.0412543
0.0393157
0.0441005
0.039499
0.0263672
0.0152599
0.0101601
0.00981697
0.0269917
0.0734792
0.142057
0.206165
0.24892
0.275589
0.286211
0.278771
0.267351
0.262578
0.256744
0.246346
0.236154
0.212169
0.196985
0.19722
0.20429
0.213255
0.220719
0.221306
0.215658
0.208229
0.206763
0.206256
0.202993
0.19958
0.191209
0.182593
0.184231
0.191636
0.201633
0.210424
0.214569
0.22011
0.220251
0.202189
0.163127
0.119388
0.084188
0.0613914
0.0372167
0.0144956
0.0026796
0.00011948
0
0
0.000228564
0.0043678
0.0117737
0.00456593
0.00437109
0.0178491
0.0349963
0.0522029
0.0642582
0.0748867
0.081092
0.0813864
0.0895842
0.124774
0.205369
0.272927
0.318731
0.339791
0.347136
0.347389
0.343025
0.339852
0.335604
0.33208
0.325016
0.314453
0.303335
0.294469
0.29129
0.293416
0.294309
0.284069
0.268659
0.254642
0.250676
0.247061
0.243265
0.244906
0.254742
0.261078
0.25937
0.256496
0.253241
0.25308
0.252402
0.260067
0.268653
0.272392
0.275482
0.280337
0.278837
0.276394
0.269631
0.247458
0.212062
0.12737
0.0232878
0.00109668
0
0.000287557
0.00590163
0.0230729
0.0343667
0.0359817
0.0317646
0.0202697
0.0124727
0.0119407
0.0152736
0.0156644
0.0133709
0.00777216
0.00386186
0.00564007
0.00325705
0.00333176
0.00120573
6.31765E-005
0
0.00070833
0.0148618
0.0683185
0.131172
0.195698
0.244394
0.280547
0.302562
0.31201
0.309191
0.301085
0.2913
0.290938
0.29724
0.301845
0.304451
0.304591
0.301639
0.300267
0.29871
0.295055
0.287323
0.281675
0.285183
0.280414
0.274935
0.271515
0.266833
0.263499
0.269385
0.275325
0.274757
0.273627
0.276199
0.271353
0.264961
0.259012
0.252572
0.250428
0.24971
0.249426
0.246977
0.248467
0.256118
0.262743
0.267849
0.268505
0.263143
0.257309
0.249951
0.243946
0.246591
0.250216
0.234762
0.202859
0.168231
0.119016
0.0606428
0.0131258
0.000623593
0
0
0
0
0
0.000136655
0.0026091
0.00701284
0.00297539
0.0012258
0.0024783
0.00573828
0.00341429
0.00524938
0.0110518
0.0270836
0.0604133
0.110312
0.135647
0.132371
0.114647
0.0944927
0.0762845
0.0887344
0.136478
0.196469
0.236595
0.262444
0.28604
0.29851
0.293943
0.277509
0.250424
0.228113
0.211887
0.204981
0.201099
0.189983
0.178151
0.173817
0.171688
0.166727
0.158839
0.148888
0.141494
0.138952
0.138736
0.135062
0.123175
0.105677
0.0919288
0.0841669
0.0791827
0.0796625
0.0770948
0.0756579
0.0831471
0.0927139
0.0973646
0.0912379
0.0746756
0.0472189
0.0115465
0.000559175
0
0
0
0
9.82305E-007
0.000121207
0.00212893
0.00777812
0.0117213
0.0140453
0.010568
0.00282427
0.00013877
0
0
0
0
0.000092748
0.00177434
0.00481398
0.00207226
0.00202041
0.00495799
0.00210375
0.00492463
0.0131905
0.00818245
0.0171248
0.0415242
0.0776491
0.129167
0.173083
0.205304
0.227568
0.239229
0.247357
0.254525
0.255179
0.257261
0.260469
0.262302
0.260447
0.251608
0.23852
0.225695
0.214422
0.202386
0.193024
0.190476
0.193934
0.200079
0.204781
0.20877
0.208521
0.208134
0.210935
0.217194
0.228537
0.245451
0.256521
0.261713
0.267633
0.268188
0.265625
0.263249
0.26522
0.275041
0.28241
0.283465
0.279368
0.272326
0.265672
0.263406
0.267742
0.272634
0.274854
0.275949
0.273784
0.27058
0.269643
0.269658
0.268213
0.27134
0.276311
0.278286
0.277472
0.275846
0.275472
0.27678
0.286389
0.291207
0.291422
0.291786
0.285432
0.25685
0.215299
0.191514
0.188332
0.182785
0.166124
0.13209
0.0982761
0.0832943
0.0771572
0.0733127
0.0685134
0.0473183
0.020713
